event_id,event_slug,event_title,event_volume,market_id,condition_id,market_slug,question,group_item_title,outcomes,outcome_prices,clob_token_ids,yes_price,no_price,yes_token_id,no_token_id,best_bid,best_ask,spread,market_volume,liquidity,neg_risk,active,closed,accepting_orders,end_date
443316,highest-temperature-in-hong-kong-on-may-5-2026,Highest temperature in Hong Kong on May 5?,410835.97962500015,2144875,0xc542956d749da39d169d7d2e15266ddd0e98724f1749571781ffe44d54338e6d,highest-temperature-in-hong-kong-on-may-5-2026-23c,Will the highest temperature in Hong Kong be 23°C on May 5?,23°C,"[""Yes"", ""No""]","[0.945, 0.055]","[""14590556269298896982820264756228625674638730049984980281410953715761024740136"", ""62832131159039535802030109214946673873634697232793193919584617210536320329325""]",0.945,0.055,14590556269298896982820264756228625674638730049984980281410953715761024740136,62832131159039535802030109214946673873634697232793193919584617210536320329325,0.94,0.95,0.01,34753.16186700001,928.0686,1,1,0,1,2026-05-05T12:00:00Z
443316,highest-temperature-in-hong-kong-on-may-5-2026,Highest temperature in Hong Kong on May 5?,410835.97962500015,2144876,0xe9285ecc5a24048f9bee94de7962d8118df4d70e6a3d7036adeaf192367eecf2,highest-temperature-in-hong-kong-on-may-5-2026-24c,Will the highest temperature in Hong Kong be 24°C on May 5?,24°C,"[""Yes"", ""No""]","[0.06, 0.94]","[""34299967706029974464063611664710631736290322936948440950789116440001307499653"", ""5642501886300203718225062972135751646372331702118509561364675973586848341576""]",0.06,0.94,34299967706029974464063611664710631736290322936948440950789116440001307499653,5642501886300203718225062972135751646372331702118509561364675973586848341576,0.05,0.07,0.02,17988.527446000015,1362.4999,1,1,0,1,2026-05-05T12:00:00Z
443316,highest-temperature-in-hong-kong-on-may-5-2026,Highest temperature in Hong Kong on May 5?,410835.97962500015,2144877,0xa923dbae4b1e59f50b36c9ffd835f45ce1a23bc57838a686a9b7483ef6639189,highest-temperature-in-hong-kong-on-may-5-2026-25c,Will the highest temperature in Hong Kong be 25°C on May 5?,25°C,"[""Yes"", ""No""]","[0.004, 0.996]","[""61814364428593580531590012605062477481743776404302190279375608556588601517380"", ""32779730504397849960838874315805169966978401710750779052086548285398816577256""]",0.004,0.996,61814364428593580531590012605062477481743776404302190279375608556588601517380,32779730504397849960838874315805169966978401710750779052086548285398816577256,0.002,0.006,0.004,19494.710284,1411.09021,1,1,0,1,2026-05-05T12:00:00Z
443316,highest-temperature-in-hong-kong-on-may-5-2026,Highest temperature in Hong Kong on May 5?,410835.97962500015,2144878,0xfcd311bbdff20435b02fa57bb5b4ada4ddb60a961e96d209a13c74ddbc112d22,highest-temperature-in-hong-kong-on-may-5-2026-26c,Will the highest temperature in Hong Kong be 26°C on May 5?,26°C,"[""Yes"", ""No""]","[0.0035, 0.9965]","[""108610683288888490930883387304634942274046639536727656032696234216065141615982"", ""1799608372311857933960117057136573924641505960110555401345103320615039556684""]",0.0035,0.9965,108610683288888490930883387304634942274046639536727656032696234216065141615982,1799608372311857933960117057136573924641505960110555401345103320615039556684,0.002,0.005,0.003,23500.113933,7416.02888,1,1,0,1,2026-05-05T12:00:00Z
443316,highest-temperature-in-hong-kong-on-may-5-2026,Highest temperature in Hong Kong on May 5?,410835.97962500015,2144870,0xada73107d17eaeabf84eb36aba627b65ab27605dcf9916e64a9971292bcf2958,highest-temperature-in-hong-kong-on-may-5-2026-18corbelow,Will the highest temperature in Hong Kong be 18°C or below on May 5?,18°C or below,"[""Yes"", ""No""]","[0.0005, 0.9995]","[""36599265530565002358168465858521723691631236112887596493916821332299195462677"", ""39061054832561695387957161643862134823709539465408095004654757547518652004212""]",0.0005,0.9995,36599265530565002358168465858521723691631236112887596493916821332299195462677,39061054832561695387957161643862134823709539465408095004654757547518652004212,,0.001,0.001,652.3215,25968.45527,1,1,0,1,2026-05-05T12:00:00Z
443302,highest-temperature-in-seoul-on-may-5-2026,Highest temperature in Seoul on May 5?,257907.440023,2144723,0xc3b4b47eb3d189e89435e889cfdaa31adb71638daf884efb6f8abc211868dc9c,highest-temperature-in-seoul-on-may-5-2026-18c,Will the highest temperature in Seoul be 18°C on May 5?,18°C,"[""Yes"", ""No""]","[0.9995, 0.0005]","[""103745716329152026407486207838789702584498715153210733485382395484889979408378"", ""83906077231834304943238878824883513369264629011456790505262427865543492282958""]",0.9995,0.0005,103745716329152026407486207838789702584498715153210733485382395484889979408378,83906077231834304943238878824883513369264629011456790505262427865543492282958,0.999,1.0,0.001,49291.226058999986,6543.56352,1,1,0,1,2026-05-05T12:00:00Z
443302,highest-temperature-in-seoul-on-may-5-2026,Highest temperature in Seoul on May 5?,257907.440023,2144724,0xa8556a95c191bc5939e8b698a69453b6a655e09e8c2f482f1eef0148bc60b7d4,highest-temperature-in-seoul-on-may-5-2026-19c,Will the highest temperature in Seoul be 19°C on May 5?,19°C,"[""Yes"", ""No""]","[0.0005, 0.9995]","[""25615781624514657103545381555837852150249475981156770467589857444934813092778"", ""37057391743265286267042705110313443974454704710893002839721969414659137563577""]",0.0005,0.9995,25615781624514657103545381555837852150249475981156770467589857444934813092778,37057391743265286267042705110313443974454704710893002839721969414659137563577,,0.001,0.001,31539.512708999995,6493.26735,1,1,0,1,2026-05-05T12:00:00Z
443302,highest-temperature-in-seoul-on-may-5-2026,Highest temperature in Seoul on May 5?,257907.440023,2144725,0xf58060a8afc86997bad7d5365417420f863b7a014af10c12f39d5c9e4d1a36f8,highest-temperature-in-seoul-on-may-5-2026-20corhigher,Will the highest temperature in Seoul be 20°C or higher on May 5?,20°C or higher,"[""Yes"", ""No""]","[0.0005, 0.9995]","[""89122867224107667324204854837253919826874365413948319397409677794028732132413"", ""49870869429255350855444703828176501240899077761039751939891509963982801349553""]",0.0005,0.9995,89122867224107667324204854837253919826874365413948319397409677794028732132413,49870869429255350855444703828176501240899077761039751939891509963982801349553,,0.001,0.001,53033.08470100001,7714.04306,1,1,0,1,2026-05-05T12:00:00Z
443317,highest-temperature-in-shanghai-on-may-5-2026,Highest temperature in Shanghai on May 5?,187395.768403,2144888,0x8ce79a937280644e77d77851d1fed32a63acb34c092f07e68cd4786180757ce0,highest-temperature-in-shanghai-on-may-5-2026-27c,Will the highest temperature in Shanghai be 27°C on May 5?,27°C,"[""Yes"", ""No""]","[0.9985, 0.0015]","[""98339167996903773554594207300857685343492922591565104939486212549124720157495"", ""105209078774730987304348010910867639148896673566543387332181648462131195133869""]",0.9985,0.0015,98339167996903773554594207300857685343492922591565104939486212549124720157495,105209078774730987304348010910867639148896673566543387332181648462131195133869,0.998,0.999,0.001,27025.725138,2392.86092,1,1,0,1,2026-05-05T12:00:00Z
443317,highest-temperature-in-shanghai-on-may-5-2026,Highest temperature in Shanghai on May 5?,187395.768403,2144889,0xf3a37043de9355d588b999d09e022dc06fff2fee08a65bc12e2e2727f69b5b92,highest-temperature-in-shanghai-on-may-5-2026-28c,Will the highest temperature in Shanghai be 28°C on May 5?,28°C,"[""Yes"", ""No""]","[0.0015, 0.9985]","[""93494526222679230026320204498302949201222831403056448113871081365304253125819"", ""108289699955447693623247154906980404905610545032031493288532559393095213863600""]",0.0015,0.9985,93494526222679230026320204498302949201222831403056448113871081365304253125819,108289699955447693623247154906980404905610545032031493288532559393095213863600,0.001,0.002,0.001,26626.620478000015,2035.20528,1,1,0,1,2026-05-05T12:00:00Z
443317,highest-temperature-in-shanghai-on-may-5-2026,Highest temperature in Shanghai on May 5?,187395.768403,2144890,0xa3e825983adc0552b22a010cf2804f8549a20b4a942cc31a8f521e6f04c14533,highest-temperature-in-shanghai-on-may-5-2026-29c,Will the highest temperature in Shanghai be 29°C on May 5?,29°C,"[""Yes"", ""No""]","[0.0005, 0.9995]","[""86422399722975988284897365195654136337303448034924007410806989210679159396633"", ""83666494173533188689499077192047400701653770461746016393796960809386101230993""]",0.0005,0.9995,86422399722975988284897365195654136337303448034924007410806989210679159396633,83666494173533188689499077192047400701653770461746016393796960809386101230993,,0.001,0.001,18416.373906000004,4022.31759,1,1,0,1,2026-05-05T12:00:00Z
443317,highest-temperature-in-shanghai-on-may-5-2026,Highest temperature in Shanghai on May 5?,187395.768403,2144891,0x2a8a52deedff37cb60955a06e2b02205e16bed39324fba3a8cc313545a2f6e54,highest-temperature-in-shanghai-on-may-5-2026-30corhigher,Will the highest temperature in Shanghai be 30°C or higher on May 5?,30°C or higher,"[""Yes"", ""No""]","[0.0005, 0.9995]","[""92481442936111310592148055888208737553249906784622282133456364354840454915668"", ""79012453069468313741499120117529450766512576907828333743491692819798354868540""]",0.0005,0.9995,92481442936111310592148055888208737553249906784622282133456364354840454915668,79012453069468313741499120117529450766512576907828333743491692819798354868540,,0.001,0.001,18267.701640000007,4329.80487,1,1,0,1,2026-05-05T12:00:00Z
443324,highest-temperature-in-beijing-on-may-5-2026,Highest temperature in Beijing on May 5?,141742.69757100003,2144960,0xa46ba50740fef7f262e1f51c51a9a0804e498b0d6bc40622e9e3a5b60369bec7,highest-temperature-in-beijing-on-may-5-2026-30c,Will the highest temperature in Beijing be 30°C on May 5?,30°C,"[""Yes"", ""No""]","[0.9965, 0.0035]","[""109432169913985954432800249369363555360624717090138304021524096956655985463170"", ""15379922809557708665676971226285398290641217413074583458307668650582037674854""]",0.9965,0.0035,109432169913985954432800249369363555360624717090138304021524096956655985463170,15379922809557708665676971226285398290641217413074583458307668650582037674854,0.996,0.997,0.001,9906.688080000009,1948.54616,1,1,0,1,2026-05-05T12:00:00Z
443324,highest-temperature-in-beijing-on-may-5-2026,Highest temperature in Beijing on May 5?,141742.69757100003,2144961,0x2e81bb27ba254a3c4b0124bfdef89d71543994c9b5bece0ea18f2b92f3b2aeab,highest-temperature-in-beijing-on-may-5-2026-31c,Will the highest temperature in Beijing be 31°C on May 5?,31°C,"[""Yes"", ""No""]","[0.0035, 0.9965]","[""97330453251716628920627675634974144566478742357841376116445358421286248581493"", ""84609510110282858324391019806806492763617130440786253187455430948328380922595""]",0.0035,0.9965,97330453251716628920627675634974144566478742357841376116445358421286248581493,84609510110282858324391019806806492763617130440786253187455430948328380922595,0.003,0.004,0.001,9667.732393000008,2699.03494,1,1,0,1,2026-05-05T12:00:00Z
