opened_at,status,event_slug,event_title,market_slug,question,group_item_title,side,stake_usdc,price,fee_per_share,shares,fair_probability,net_edge,expected_payout_usdc,expected_pnl_usdc,prediction_c,interval_lower,interval_upper,interval_unit,end_date,market_has_ended,actual_value,actual_status,won,payout_usdc,pnl_usdc,roi_pct,trade_id
2026-05-04T16:47:17+00:00,open,highest-temperature-in-beijing-on-may-5-2026,Highest temperature in Beijing on May 5?,highest-temperature-in-beijing-on-may-5-2026-28corbelow,Will the highest temperature in Beijing be 28°C or below on May 5?,28°C or below,BUY_YES,5.0,0.06,0.00282,79.592486,0.67699,0.61417,53.8833,48.8833,28.040701107743466,,28.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,df9e17452ee0d46d
2026-05-04T16:47:17+00:00,open,highest-temperature-in-jakarta-on-may-5-2026,Highest temperature in Jakarta on May 5?,highest-temperature-in-jakarta-on-may-5-2026-34c,Will the highest temperature in Jakarta be 34°C on May 5?,34°C,BUY_NO,5.0,0.45,0.012375,10.813733,0.999987,0.537612,10.8136,5.8136,29.29088729636456,33.5,34.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,ae3b43179929b3f5
2026-05-04T16:47:17+00:00,open,highest-temperature-in-san-francisco-on-may-5-2026,Highest temperature in San Francisco on May 5?,highest-temperature-in-san-francisco-on-may-5-2026-62-63f,Will the highest temperature in San Francisco be between 62-63°F on May 5?,62-63°F,BUY_NO,5.0,0.55,0.012375,8.890865,0.995506,0.433131,8.8509,3.8509,14.061808847105477,62.0,64.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,32d1575bb965d3b7
2026-05-04T16:47:17+00:00,open,highest-temperature-in-toronto-on-may-5-2026,Highest temperature in Toronto on May 5?,highest-temperature-in-toronto-on-may-5-2026-17corhigher,Will the highest temperature in Toronto be 17°C or higher on May 5?,17°C or higher,BUY_NO,5.0,0.54,0.01242,9.051084,0.964474,0.412054,8.7295,3.7295,14.694859945339182,16.5,,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,e9c724b7835c1c49
2026-05-04T16:47:17+00:00,open,highest-temperature-in-shanghai-on-may-5-2026,Highest temperature in Shanghai on May 5?,highest-temperature-in-shanghai-on-may-5-2026-25c,Will the highest temperature in Shanghai be 25°C on May 5?,25°C,BUY_NO,5.0,0.5,0.0125,9.756098,0.924071,0.411571,9.0153,4.0153,23.126048663334064,24.5,25.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,e08e87b0bae61ec0
2026-05-04T16:47:17+00:00,open,highest-temperature-in-miami-on-may-5-2026,Highest temperature in Miami on May 5?,highest-temperature-in-miami-on-may-5-2026-86-87f,Will the highest temperature in Miami be between 86-87°F on May 5?,86-87°F,BUY_NO,5.0,0.59,0.012095,8.304337,0.988945,0.38685,8.2125,3.2125,27.723492866429737,86.0,88.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,7553333ccce11317
2026-05-04T16:47:17+00:00,open,highest-temperature-in-tokyo-on-may-5-2026,Highest temperature in Tokyo on May 5?,highest-temperature-in-tokyo-on-may-5-2026-19c,Will the highest temperature in Tokyo be 19°C on May 5?,19°C,BUY_YES,5.0,0.008,0.000397,595.450756,0.37971,0.371313,226.0986,221.0986,19.135431870510757,18.5,19.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,dc2f64e38d238f64
2026-05-04T16:47:17+00:00,open,highest-temperature-in-atlanta-on-may-5-2026,Highest temperature in Atlanta on May 5?,highest-temperature-in-atlanta-on-may-5-2026-76-77f,Will the highest temperature in Atlanta be between 76-77°F on May 5?,76-77°F,BUY_YES,5.0,0.05,0.002375,95.465394,0.420818,0.368443,40.1736,35.1736,25.059307636081016,76.0,78.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,08195befd8ae916d
2026-05-04T16:47:17+00:00,open,highest-temperature-in-tokyo-on-may-5-2026,Highest temperature in Tokyo on May 5?,highest-temperature-in-tokyo-on-may-5-2026-23corhigher,Will the highest temperature in Tokyo be 23°C or higher on May 5?,23°C or higher,BUY_NO,5.0,0.62,0.01178,7.914147,0.999617,0.367837,7.9111,2.9111,19.135431870510757,22.5,,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,83852741cdd7276f
2026-05-04T16:47:17+00:00,open,highest-temperature-in-atlanta-on-may-5-2026,Highest temperature in Atlanta on May 5?,highest-temperature-in-atlanta-on-may-5-2026-80-81f,Will the highest temperature in Atlanta be between 80-81°F on May 5?,80-81°F,BUY_NO,5.0,0.58,0.01218,8.443379,0.949291,0.357111,8.0152,3.0152,25.059307636081016,80.0,82.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,65dbc978479baef3
2026-05-04T16:47:17+00:00,open,highest-temperature-in-lagos-on-may-5-2026,Highest temperature in Lagos on May 5?,highest-temperature-in-lagos-on-may-5-2026-34c,Will the highest temperature in Lagos be 34°C on May 5?,34°C,BUY_NO,5.0,0.64,0.01152,7.674361,0.999286,0.347766,7.6689,2.6689,30.31702523824956,33.5,34.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,180d0d014f016ae3
2026-05-04T16:47:17+00:00,open,highest-temperature-in-cape-town-on-may-5-2026,Highest temperature in Cape Town on May 5?,highest-temperature-in-cape-town-on-may-5-2026-18c,Will the highest temperature in Cape Town be 18°C on May 5?,18°C,BUY_NO,5.0,0.56,0.01232,8.736371,0.915764,0.343444,8.0005,3.0005,16.18704046534468,17.5,18.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,d2c9fe2405384e71
2026-05-04T16:47:17+00:00,open,highest-temperature-in-buenos-aires-on-may-5-2026,Highest temperature in Buenos Aires on May 5?,highest-temperature-in-buenos-aires-on-may-5-2026-24c,Will the highest temperature in Buenos Aires be 24°C on May 5?,24°C,BUY_NO,5.0,0.63,0.011655,7.792349,0.984272,0.342617,7.6698,2.6698,21.370418439083316,23.5,24.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,cff9807693260d8e
2026-05-04T16:47:17+00:00,open,highest-temperature-in-wuhan-on-may-5-2026,Highest temperature in Wuhan on May 5?,highest-temperature-in-wuhan-on-may-5-2026-30c,Will the highest temperature in Wuhan be 30°C on May 5?,30°C,BUY_NO,5.0,0.63,0.011655,7.792349,0.983856,0.342201,7.6665,2.6665,27.381162039825547,29.5,30.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,05709bcc67aefbea
2026-05-04T16:47:17+00:00,open,highest-temperature-in-moscow-on-may-5-2026,Highest temperature in Moscow on May 5?,highest-temperature-in-moscow-on-may-5-2026-25c,Will the highest temperature in Moscow be 25°C on May 5?,25°C,BUY_NO,5.0,0.63,0.011655,7.792349,0.975489,0.333834,7.6014,2.6014,22.559315920740868,24.5,25.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,031c963a5f28e4b6
2026-05-04T16:47:17+00:00,open,highest-temperature-in-shanghai-on-may-5-2026,Highest temperature in Shanghai on May 5?,highest-temperature-in-shanghai-on-may-5-2026-23c,Will the highest temperature in Shanghai be 23°C on May 5?,23°C,BUY_YES,5.0,0.046,0.002194,103.747354,0.380138,0.331944,39.4383,34.4383,23.126048663334064,22.5,23.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,84eee229ae6f441b
2026-05-04T16:47:17+00:00,open,highest-temperature-in-busan-on-may-5-2026,Highest temperature in Busan on May 5?,highest-temperature-in-busan-on-may-5-2026-19c,Will the highest temperature in Busan be 19°C on May 5?,19°C,BUY_YES,5.0,0.05,0.002375,95.465394,0.375438,0.323063,35.8413,30.8413,19.20724757496647,18.5,19.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,f386fe4ff3733fb0
2026-05-04T16:47:17+00:00,open,highest-temperature-in-beijing-on-may-5-2026,Highest temperature in Beijing on May 5?,highest-temperature-in-beijing-on-may-5-2026-31c,Will the highest temperature in Beijing be 31°C on May 5?,31°C,BUY_NO,5.0,0.66,0.01122,7.449122,0.99331,0.32209,7.3993,2.3993,28.040701107743466,30.5,31.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,33672f89c037ac8e
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-miami-on-may-6-2026,Lowest temperature in Miami on May 6?,lowest-temperature-in-miami-on-may-6-2026-74-75f,Will the lowest temperature in Miami be between 74-75°F on May 6?,74-75°F,BUY_NO,5.0,0.64,0.01152,7.674361,0.971981,0.320461,7.4593,2.4593,21.443100936626514,74.0,76.0,fahrenheit,2026-05-06T12:00:00Z,0,,pending,,,,,27b52876dbb3cd58
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-hong-kong-on-may-5-2026,Lowest temperature in Hong Kong on May 5?,lowest-temperature-in-hong-kong-on-may-5-2026-19c,Will the lowest temperature in Hong Kong be 19°C on May 5?,19°C,BUY_YES,5.0,0.068,0.003169,70.255308,0.382919,0.31175,26.9021,21.9021,18.99426475449078,18.5,19.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,624ad12a5961ac32
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-tokyo-on-may-5-2026,Lowest temperature in Tokyo on May 5?,lowest-temperature-in-tokyo-on-may-5-2026-14c,Will the lowest temperature in Tokyo be 14°C on May 5?,14°C,BUY_NO,5.0,0.64,0.01152,7.674361,0.962255,0.310735,7.3847,2.3847,11.758565114341337,13.5,14.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,6043710bd9738912
2026-05-04T16:47:17+00:00,open,highest-temperature-in-singapore-on-may-5-2026,Highest temperature in Singapore on May 5?,highest-temperature-in-singapore-on-may-5-2026-33c,Will the highest temperature in Singapore be 33°C on May 5?,33°C,BUY_NO,5.0,0.66,0.01122,7.449122,0.979482,0.308262,7.2963,2.2963,30.481878342034,32.5,33.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,847cfad7d11b992f
2026-05-04T16:47:17+00:00,open,highest-temperature-in-singapore-on-may-5-2026,Highest temperature in Singapore on May 5?,highest-temperature-in-singapore-on-may-5-2026-32c,Will the highest temperature in Singapore be 32°C on May 5?,32°C,BUY_NO,5.0,0.55,0.012375,8.890865,0.867479,0.305104,7.7126,2.7126,30.481878342034,31.5,32.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,1505564cb34abc8a
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-tokyo-on-may-6-2026,Lowest temperature in Tokyo on May 6?,lowest-temperature-in-tokyo-on-may-6-2026-13c,Will the lowest temperature in Tokyo be 13°C on May 6?,13°C,BUY_YES,5.0,0.069,0.003212,69.240569,0.374889,0.302677,25.9575,20.9575,13.214793606595002,12.5,13.5,celsius,2026-05-06T12:00:00Z,0,,pending,,,,,ab37518ac2039a98
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-tokyo-on-may-6-2026,Lowest temperature in Tokyo on May 6?,lowest-temperature-in-tokyo-on-may-6-2026-17c,Will the lowest temperature in Tokyo be 17°C on May 6?,17°C,BUY_NO,5.0,0.69,0.010695,7.135772,0.9995,0.298805,7.1322,2.1322,13.214793606595002,16.5,17.5,celsius,2026-05-06T12:00:00Z,0,,pending,,,,,d3deebcb40a1e1ae
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-london-on-may-6-2026,Lowest temperature in London on May 6?,lowest-temperature-in-london-on-may-6-2026-6c,Will the lowest temperature in London be 6°C on May 6?,6°C,BUY_YES,5.0,0.08,0.00368,59.751434,0.38218,0.2985,22.8358,17.8358,5.934924057239985,5.5,6.5,celsius,2026-05-06T12:00:00Z,0,,pending,,,,,efcf0a2348a2331c
2026-05-04T16:47:17+00:00,open,highest-temperature-in-singapore-on-may-5-2026,Highest temperature in Singapore on May 5?,highest-temperature-in-singapore-on-may-5-2026-30c,Will the highest temperature in Singapore be 30°C on May 5?,30°C,BUY_YES,5.0,0.044,0.002103,108.452812,0.344149,0.298046,37.3239,32.3239,30.481878342034,29.5,30.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,e28d25af377e80ea
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-miami-on-may-5-2026,Lowest temperature in Miami on May 5?,lowest-temperature-in-miami-on-may-5-2026-68-69f,Will the lowest temperature in Miami be between 68-69°F on May 5?,68-69°F,BUY_YES,5.0,0.119,0.005242,40.24404,0.418538,0.294296,16.8437,11.8437,20.430772386830146,68.0,70.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,8e36182239b960b5
2026-05-04T16:47:17+00:00,open,highest-temperature-in-nyc-on-may-5-2026,Highest temperature in NYC on May 5?,highest-temperature-in-nyc-on-may-5-2026-82-83f,Will the highest temperature in New York City be between 82-83°F on May 5?,82-83°F,BUY_YES,5.0,0.11,0.004895,43.517995,0.40284,0.287945,17.5308,12.5308,28.01648921391822,82.0,84.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,f81acd5282ce3ba7
2026-05-04T16:47:17+00:00,open,highest-temperature-in-moscow-on-may-5-2026,Highest temperature in Moscow on May 5?,highest-temperature-in-moscow-on-may-5-2026-23c,Will the highest temperature in Moscow be 23°C on May 5?,23°C,BUY_YES,5.0,0.06,0.00282,79.592486,0.350216,0.287396,27.8746,22.8746,22.559315920740868,22.5,23.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,3ba8229e8537759b
2026-05-04T16:47:17+00:00,open,highest-temperature-in-los-angeles-on-may-5-2026,Highest temperature in Los Angeles on May 5?,highest-temperature-in-los-angeles-on-may-5-2026-62-63f,Will the highest temperature in Los Angeles be between 62-63°F on May 5?,62-63°F,BUY_YES,5.0,0.08,0.00368,59.751434,0.36968,0.286,22.0889,17.0889,17.761602404525195,62.0,64.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,468d62d945715562
2026-05-04T16:47:17+00:00,open,highest-temperature-in-shenzhen-on-may-5-2026,Highest temperature in Shenzhen on May 5?,highest-temperature-in-shenzhen-on-may-5-2026-27c,Will the highest temperature in Shenzhen be 27°C on May 5?,27°C,BUY_YES,5.0,0.07,0.003255,68.254727,0.358742,0.285487,24.4858,19.4858,26.6233162687414,26.5,27.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,dbc322a429a979c9
2026-05-04T16:47:17+00:00,open,highest-temperature-in-sao-paulo-on-may-5-2026,Highest temperature in Sao Paulo on May 5?,highest-temperature-in-sao-paulo-on-may-5-2026-28c,Will the highest temperature in Sao Paulo be 28°C on May 5?,28°C,BUY_NO,5.0,0.54,0.01242,9.051084,0.837657,0.285237,7.5817,2.5817,26.63457997791942,27.5,28.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,ede81aa67a3ea946
2026-05-04T16:47:17+00:00,open,highest-temperature-in-chongqing-on-may-5-2026,Highest temperature in Chongqing on May 5?,highest-temperature-in-chongqing-on-may-5-2026-31c,Will the highest temperature in Chongqing be 31°C on May 5?,31°C,BUY_NO,5.0,0.68,0.01088,7.237147,0.972477,0.281597,7.038,2.038,28.611152817158896,30.5,31.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,936eabc33a2dd214
2026-05-04T16:47:17+00:00,open,highest-temperature-in-moscow-on-may-5-2026,Highest temperature in Moscow on May 5?,highest-temperature-in-moscow-on-may-5-2026-22c,Will the highest temperature in Moscow be 22°C on May 5?,22°C,BUY_YES,5.0,0.049,0.00233,97.408923,0.331622,0.280292,32.3029,27.3029,22.559315920740868,21.5,22.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,a6cef415c5842277
